,,,,,,
Colour checker Digital SG data (140 patches),,,,,,
Colour patch,Device-indepenent colour values,,,Device-depenent colour values normalised in the 0-1 interval,,
,,,,,,
,X,Y,Z,R,G,B
A01,85.290,90.360,96.929,0.810,0.817,0.737
A02,4.289,4.550,5.169,0.000,0.000,0.000
A03,19.530,20.690,22.821,0.152,0.159,0.139
A04,85.495,90.550,97.190,0.877,0.885,0.783
A05,4.227,4.490,5.128,0.000,0.000,0.000
A06,19.602,20.740,22.890,0.154,0.163,0.139
A07,4.222,4.480,5.036,0.878,0.895,0.772
A08,19.536,20.670,22.813,0.000,0.000,0.000
A09,19.549,20.690,22.821,0.147,0.160,0.131
A10,85.383,90.380,97.288,0.841,0.876,0.749
B01,19.602,20.760,22.911,0.153,0.159,0.142
B02,15.962,9.460,14.226,0.116,0.000,0.064
B03,36.497,29.850,47.671,0.359,0.222,0.402
B04,14.513,8.640,24.714,0.071,0.011,0.179
B05,19.774,21.390,60.451,0.077,0.219,0.599
B06,6.506,7.570,14.828,0.148,0.342,0.518
B07,22.037,31.350,45.167,0.000,0.008,0.013
B08,22.020,31.360,45.143,0.129,0.344,0.371
B09,6.200,6.530,5.906,0.003,0.003,0.000
B10,19.614,20.760,22.918,0.155,0.168,0.138
C01,4.270,4.540,5.168,0.000,0.000,0.000
C02,7.902,6.760,11.408,0.015,0.001,0.046
C03,17.905,14.870,36.678,0.113,0.109,0.329
C04,6.690,6.540,16.702,0.000,0.011,0.122
C05,26.672,30.590,61.121,0.184,0.334,0.578
C06,6.503,7.570,14.831,0.000,0.022,0.096
C07,29.382,30.690,62.199,0.219,0.322,0.580
C08,14.422,22.230,31.122,0.061,0.232,0.239
C09,20.999,31.450,23.279,0.162,0.337,0.112
C10,4.285,4.540,5.132,0.000,0.000,0.000
D01,85.391,90.440,97.072,0.916,0.910,0.821
D02,60.683,63.820,81.901,0.628,0.663,0.733
D03,68.854,64.770,71.604,0.796,0.610,0.612
